,price
4173,59.0
4177,119.0
4178,80.0
4182,33.0
4183,420.0
4184,49.0
4185,120.0
4187,88.0
4192,171.0
4193,49.0
4197,350.0
4201,190.0
4205,80.0
4206,180.0
4209,310.0
4210,200.0
4213,159.0
4215,36.0
4216,141.0
4218,55.0
4221,80.0
4223,225.0
4224,60.0
4226,92.0
4230,157.0
4231,100.0
4233,240.0
4243,39.0
4246,64.0
4247,145.0
4248,90.0
4251,300.0
4252,63.0
4254,100.0
4255,41.0
4256,52.0
4258,48.0
4259,48.0
4260,75.0
4261,199.0
4262,208.0
4263,199.0
4264,177.0
4268,250.0
4271,52.0
4274,80.0
4277,120.0
4279,200.0
4280,125.0
4282,80.0
4286,83.0
4288,221.0
4289,60.0
4292,73.0
4293,199.0
4294,320.0
4295,500.0
4296,70.0
4298,119.0
4300,80.0
4301,36.0
4308,71.0
4309,240.0
4311,59.0
4312,115.0
4314,40.0
4315,140.0
4316,78.0
4320,45.0
4321,56.0
4323,60.0
4324,550.0
4325,64.0
4327,71.0
4329,85.0
4331,211.0
4333,70.0
4335,72.0
4340,42.0
4349,186.0
4350,119.0
4353,125.0
4355,120.0
4356,68.0
4359,308.0
4362,70.0
4363,110.0
4366,131.0
4367,75.0
4369,95.0
